ENDEKSA_IL,ENDEKSA_IL_AD,ENDEKSA_ILCE,ENDEKSA_ILCE_AD,LATLOT,SLUG
25,Erzurum,1153,Aşkale,[40.6686651782103, 39.9033126479522],erzurum-askale
25,Erzurum,1235,Çat,[40.9311163728417, 39.5870349753511],erzurum-cat
25,Erzurum,1392,Hınıs,[41.6946675945704, 39.356463966676],erzurum-hinis
25,Erzurum,1396,Horasan,[42.2095378727427, 40.0355531814809],erzurum-horasan
25,Erzurum,1416,İspir,[41.0238899978837, 40.5210666132163],erzurum-ispir
25,Erzurum,1444,Karayazı,[42.1326996397724, 39.630508639008],erzurum-karayazi
25,Erzurum,1540,Narman,[41.8896389226985, 40.2966632615919],erzurum-narman
25,Erzurum,1550,Oltu,[41.9572654584313, 40.5558626620083],erzurum-oltu
25,Erzurum,1551,Olur,[42.0995136165659, 40.8476112071688],erzurum-olur
25,Erzurum,1567,Pasinler,[41.6374640411603, 39.9884068434968],erzurum-pasinler
25,Erzurum,1657,Şenkaya,[42.3712471737, 40.5969002022039],erzurum-senkaya
25,Erzurum,1674,Tekman,[41.4370750218136, 39.5974459989762],erzurum-tekman
25,Erzurum,1683,Tortum,[41.4243148585067, 40.3606208345028],erzurum-tortum
25,Erzurum,1812,Karaçoban,[42.0511974054028, 39.3433210182572],erzurum-karacoban
25,Erzurum,1851,Uzundere,[41.6140348818536, 40.5791496806178],erzurum-uzundere
25,Erzurum,1865,Pazaryolu,[40.682054083237, 40.4238787915036],erzurum-pazaryolu
25,Erzurum,1945,Aziziye,[40.9866838928665, 40.0958298006938],erzurum-aziziye
25,Erzurum,1967,Köprüköy,[41.8855611764747, 39.8842484181519],erzurum-koprukoy
25,Erzurum,2045,Yakutiye,[41.3059688960142, 40.0761895208126],erzurum-yakutiye
25,Erzurum,9975,Erzurum Il Geneli,,Erzurum Il Geneli
26,Eskişehir,1255,Çifteler,[31.0771836950276, 39.3257931328053],eskisehir-cifteler
26,Eskişehir,1508,Mahmudiye,[30.9788903026143, 39.5330428408681],eskisehir-mahmudiye
26,Eskişehir,1527,Mihalıççık,[31.5072606136024, 39.8724154992161],eskisehir-mihaliccik
26,Eskişehir,1599,Sarıcakaya,[30.7282353462909, 40.0512660443984],eskisehir-saricakaya
26,Eskişehir,1618,Seyitgazi,[30.6235506139926, 39.3710052053568],eskisehir-seyitgazi
26,Eskişehir,1632,Sivrihisar,[31.5412897910011, 39.4042358531205],eskisehir-sivrihisar
26,Eskişehir,1759,Alpu,[31.0147260036575, 39.8366077287723],eskisehir-alpu
26,Eskişehir,1777,Beylikova,[31.2557335238335, 39.7164447166877],eskisehir-beylikova
26,Eskişehir,1808,İnönü,[30.1259978572914, 39.7651118835241],eskisehir-inonu
26,Eskişehir,1934,Günyüzü,[31.8548655335293, 39.3392767292627],eskisehir-gunyuzu
26,Eskişehir,1939,Han,[30.8040371367715, 39.1805449748859],eskisehir-han
26,Eskişehir,1973,Mihalgazi,[30.5631893093207, 40.0117290428499],eskisehir-mihalgazi
26,Eskişehir,2046,Odunpazarı,[30.5804144942683, 39.6538070605822],eskisehir-odunpazari
26,Eskişehir,2047,Tepebaşı,[30.5277827282309, 39.8472182088056],eskisehir-tepebasi
27,Gaziantep,1415,İslahiye,[36.6873576203952, 36.9779029737806],gaziantep-islahiye
27,Gaziantep,1546,Nizip,[37.7753293567442, 37.0513824763512],gaziantep-nizip
27,Gaziantep,1549,Oğuzeli,[37.5640853145805, 36.8652703413684],gaziantep-oguzeli
27,Gaziantep,1720,Yavuzeli,[37.6387539995182, 37.3167625190377],gaziantep-yavuzeli
27,Gaziantep,1841,Şahinbey,[37.2511099642179, 36.9732574421872],gaziantep-sahinbey
27,Gaziantep,1844,Şehitkamil,[37.3678392679421, 37.1759176560881],gaziantep-sehitkamil
27,Gaziantep,1956,Karkamış,[37.8956970110845, 36.8542797851327],gaziantep-karkamis
27,Gaziantep,1974,Nurdağı,[36.872906916353, 37.1580606217739],gaziantep-nurdagi
27,Gaziantep,9973,Gaziantep Il Geneli,,Gaziantep Il Geneli
28,Giresun,1133,Alucra,[38.7963407199354, 40.371812447899],giresun-alucra
28,Giresun,1212,Bulancak,[38.1413072427377, 40.7278634200668],giresun-bulancak
28,Giresun,1272,Dereli,[38.3894095635353, 40.6139015341378],giresun-dereli
28,Giresun,1320,Espiye,[38.7383586480526, 40.7660106809245],giresun-espiye
28,Giresun,1324,Eynesil,[39.130407726206, 41.0180487220077],giresun-eynesil
28,Giresun,1352,Giresun Merkez,[38.3607299365061, 40.8172255708501],giresun-giresun-merkez
28,Giresun,1361,Görele,[39.030233277814, 40.9529310085357],giresun-gorele
28,Giresun,1465,Keşap,[38.5569052908024, 40.8534746048966],giresun-kesap
28,Giresun,1654,Şebinkarahisar,[38.4082646024534, 40.3311033433427],giresun-sebinkarahisar
28,Giresun,1678,Tirebolu,[38.8684781687717, 40.929519766439],giresun-tirebolu
28,Giresun,1837,Piraziz,[38.0843091874909, 40.8693285725994],giresun-piraziz
28,Giresun,1854,Yağlıdere,[38.6312375309756, 40.6899800408112],giresun-yaglidere
28,Giresun,1893,Çamoluk,[38.7521209432093, 40.1394458459453],giresun-camoluk
28,Giresun,1894,Çanakçı,[39.0544410317318, 40.8715654961792],giresun-canakci
28,Giresun,1912,Doğankent,[38.9377093236843, 40.7848264472436],giresun-dogankent
28,Giresun,1930,Güce,[38.8366271854106, 40.7594707334688],giresun-guce
29,Gümüşhane,1369,Gümüşhane Merkez,[39.6569357118604, 40.4596236925867],gumushane-gumushane-merkez
29,Gümüşhane,1458,Kelkit,[39.4463402923296, 40.0495743840193],gumushane-kelkit
29,Gümüşhane,1660,Şiran,[39.0916545821565, 40.1830001507102],gumushane-siran
29,Gümüşhane,1684,Torul,[39.2408604579832, 40.5064099537184],gumushane-torul
29,Gümüşhane,1822,Köse,[39.6993266634268, 40.2216676025078],gumushane-kose
29,Gümüşhane,1971,Kürtün,[39.0098864975638, 40.6350052284679],gumushane-kurtun
30,Hakkari,1261,Çukurca,[43.6690632608433, 37.3101271548747],hakkari-cukurca
30,Hakkari,1377,Hakkari Merkez,[43.6904808797546, 37.5668247410126],hakkari-hakkari-merkez
30,Hakkari,1656,Şemdinli,[44.5179601759403, 37.2949675796782],hakkari-semdinli
30,Hakkari,1737,Yüksekova,[44.2557806243005, 37.5573784386349],hakkari-yuksekova
30,Hakkari,9970,Hakkari Il Geneli,,Hakkari Il Geneli
31,Hatay,1131,Altınözü,[36.2776142341853, 36.0850061483334],hatay-altinozu
31,Hatay,1289,Dörtyol,[36.2817410273076, 36.8631786244786],hatay-dortyol
31,Hatay,1382,Hassa,[36.4976951715866, 36.7660564361247],hatay-hassa
31,Hatay,1413,İskenderun,[36.2487672783435, 36.6173589363203],hatay-iskenderun
31,Hatay,1468,Kırıkhan,[36.4221573022134, 36.5259439281894],hatay-kirikhan
31,Hatay,1585,Reyhanlı,[36.5035595038507, 36.2832999046034],hatay-reyhanli
31,Hatay,1591,Samandağ,[35.9673533163336, 36.1810025386232],hatay-samandag
31,Hatay,1721,Yayladağı,[36.0890155843287, 35.9722435066715],hatay-yayladagi
31,Hatay,1792,Erzin,[36.1538653858035, 36.9551582001125],hatay-erzin
31,Hatay,1887,Belen,[36.1807189147958, 36.4481965438754],hatay-belen
31,Hatay,1970,Kumlu,[36.4727377720957, 36.3753436614262],hatay-kumlu
31,Hatay,2081,Arsuz,[35.9758862270101, 36.3933685326933],hatay-arsuz
31,Hatay,2082,Defne,[36.106981631615, 36.1563820463742],hatay-defne
31,Hatay,2083,Payas,[36.2720360579293, 36.7514139067326],hatay-payas
31,Hatay,9969,Hatay Il Geneli,,Hatay Il Geneli
32,Isparta,1154,Atabey,[30.6554263349887, 37.9780570841187],isparta-atabey
32,Isparta,1297,Eğirdir,[30.9102030481344, 37.8471460619621],isparta-egirdir
32,Isparta,1341,Gelendost,[31.0239538738912, 38.0977971936737],isparta-gelendost
32,Isparta,1401,Isparta Merkez,[30.6318307926251, 37.7661902790738],isparta-isparta-merkez
32,Isparta,1456,Keçiborlu,[30.2584310238063, 37.9029399551658],isparta-keciborlu
32,Isparta,1615,Senirkent,[30.6747148621767, 38.1565332537168],isparta-senirkent
32,Isparta,1648,Sütçüler,[31.0671835769557, 37.5159531555983],isparta-sutculer
32,Isparta,1651,Şarkikaraağaç,[31.3398054859781, 38.0182629237822],isparta-sarkikaraagac
32,Isparta,1699,Uluborlu,[30.4558004237953, 38.0865174819504],isparta-uluborlu
32,Isparta,1717,Yalvaç,[31.0749108447672, 38.2986103989373],isparta-yalvac
32,Isparta,1755,Aksu,[31.1673373281094, 37.7464958705465],isparta-aksu
32,Isparta,1929,Gönen,[30.4588103821743, 37.9344414644029],isparta-gonen
32,Isparta,2001,Yenişarbademli,[31.3208097359531, 37.7630957867699],isparta-yenisarbademli
33,Mersin,1135,Anamur,[32.7757802007015, 36.2522619748392],mersin-anamur
33,Mersin,1311,Erdemli,[34.1287769673972, 36.7924775678864],mersin-erdemli
33,Mersin,1366,Gülnar,[33.3226109159096, 36.3763519700236],mersin-gulnar
33,Mersin,1536,Mut,[33.3967368444924, 36.7277889271868],mersin-mut
33,Mersin,1621,Silifke,[33.8299149489411, 36.5452745869475],mersin-silifke
33,Mersin,1665,Tarsus,[34.8465810862958, 37.0731998736256],mersin-tarsus
33,Mersin,1766,Aydıncık,[33.3079789263605, 36.2159476776632],mersin-aydincik
33,Mersin,1779,Bozyazı,[33.0379502967019, 36.2404709501551],mersin-bozyazi
33,Mersin,1892,Çamlıyayla,[34.5743152400554, 37.1766763068192],mersin-camliyayla
33,Mersin,2064,Akdeniz,[34.7210462989492, 36.8821150951692],mersin-akdeniz
33,Mersin,2065,Mezitli,[34.3804869613597, 36.8630433298277],mersin-mezitli
33,Mersin,2066,Toroslar,[34.3562132944639, 37.0574442095453],mersin-toroslar
33,Mersin,2067,Yenişehir,[34.5130742358399, 36.8431296373356],mersin-yenisehir
34,İstanbul,1166,Bakırköy,[28.834192870144, 40.9798564697083],istanbul-bakirkoy
34,İstanbul,1183,Beşiktaş,[29.0217905256715, 41.0706949718279],istanbul-besiktas
34,İstanbul,1185,Beykoz,[29.1977703859318, 41.1464212149679],istanbul-beykoz
34,İstanbul,1186,Beyoğlu,[28.9661803882669, 41.0401411323678],istanbul-beyoglu
34,İstanbul,1237,Çatalca,[28.3554146801498, 41.325698707357],istanbul-catalca
34,İstanbul,1325,Eyüpsultan,[28.8832758953654, 41.1954080039157],istanbul-eyupsultan
34,İstanbul,1327,Fatih,[28.9485162212214, 41.0125128377404],istanbul-fatih
34,İstanbul,1336,Gaziosmanpaşa,[28.9066635458036, 41.0744868168584],istanbul-gaziosmanpasa
34,İstanbul,1421,Kadıköy,[29.0618436395841, 40.979981387586],istanbul-kadikoy
34,İstanbul,1449,Kartal,[29.2093960231208, 40.9160113216552],istanbul-kartal
34,İstanbul,1604,Sarıyer,[29.0178811918709, 41.1845808610571],istanbul-sariyer
34,İstanbul,1622,Silivri,[28.1841667569684, 41.1817619387705],istanbul-silivri
34,İstanbul,1659,Şile,[29.6097389079711, 41.0982179564976],istanbul-sile
34,İstanbul,1663,Şişli,[28.988523938875, 41.0598145196736],istanbul-sisli
34,İstanbul,1708,Üsküdar,[29.0551864600078, 41.0303353172485],istanbul-uskudar
34,İstanbul,1739,Zeytinburnu,[28.9079917886437, 41.0049195236789],istanbul-zeytinburnu
34,İstanbul,1782,Büyükçekmece,[28.5369327929268, 41.0549214076895],istanbul-buyukcekmece
34,İstanbul,1810,Kağıthane,[28.978309664569, 41.0830759979223],istanbul-kagithane
34,İstanbul,1823,Küçükçekmece,[28.7765638022926, 41.0253106911019],istanbul-kucukcekmece
34,İstanbul,1835,Pendik,[29.3531955152774, 40.9584986469099],istanbul-pendik
34,İstanbul,1852,Ümraniye,[29.1318786008589, 41.022459749891],istanbul-umraniye
34,İstanbul,1886,Bayrampaşa,[28.8992997222885, 41.0488021809729],istanbul-bayrampasa
34,İstanbul,2003,Avcılar,[28.7187873931876, 41.0243878582108],istanbul-avcilar
34,İstanbul,2004,Bağcılar,[28.8365929755431, 41.0440608189009],istanbul-bagcilar
34,İstanbul,2005,Bahçelievler,[28.8406874624028, 41.0076098985374],istanbul-bahcelievler
34,İstanbul,2010,Güngören,[28.8793117658229, 41.018769374573],istanbul-gungoren
34,İstanbul,2012,Maltepe,[29.1601236647117, 40.9465889173811],istanbul-maltepe
34,İstanbul,2014,Sultanbeyli,[29.2750586200128, 40.9643805078038],istanbul-sultanbeyli
34,İstanbul,2015,Tuzla,[29.3679895468786, 40.891660371559],istanbul-tuzla
34,İstanbul,2016,Esenler,[28.8525649924983, 41.0780007979779],istanbul-esenler
34,İstanbul,2048,Arnavutköy,[28.6735622376012, 41.2354701617876],istanbul-arnavutkoy
34,İstanbul,2049,Ataşehir,[29.1279205565116, 40.9862563055331],istanbul-atasehir
34,İstanbul,2050,Başakşehir,[28.7486812376598, 41.0984940151522],istanbul-basaksehir
34,İstanbul,2051,Beylikdüzü,[28.6451442354826, 40.9851118112767],istanbul-beylikduzu
34,İstanbul,2052,Çekmeköy,[29.2843934450885, 41.0733023550646],istanbul-cekmekoy
34,İstanbul,2053,Esenyurt,[28.6586130195758, 41.042884947449],istanbul-esenyurt
34,İstanbul,2054,Sancaktepe,[29.265461505091, 41.0102661429296],istanbul-sancaktepe
34,İstanbul,2055,Sultangazi,[28.8748639101441, 41.1204642536574],istanbul-sultangazi
34,İstanbul,9966,İstanbul Il Geneli,,İstanbul Il Geneli
35,İzmir,1128,Aliağa,[27.0442695359574, 38.802686618618],izmir-aliaga
35,İzmir,1178,Bayındır,[27.6409766936807, 38.2404716853928],izmir-bayindir
35,İzmir,1181,Bergama,[27.1911831595832, 39.1656038847507],izmir-bergama
35,İzmir,1203,Bornova,[27.2534348793924, 38.4791310857736],izmir-bornova
35,İzmir,1251,Çeşme,[26.4064167795704, 38.3016301610793],izmir-cesme
35,İzmir,1280,Dikili,[26.9163645017846, 39.0865852534395],izmir-dikili
35,İzmir,1334,Foça,[26.8376547680142, 38.6797206820642],izmir-foca
35,İzmir,1432,Karaburun,[26.4782154077775, 38.554825015304],izmir-karaburun
35,İzmir,1448,Karşıyaka,[27.1273304719808, 38.5097141180823],izmir-karsiyaka
35,İzmir,1461,Kemalpaşa,[27.4877428898567, 38.4134638248426],izmir-kemalpasa
35,İzmir,1467,Kınık,[27.3798513974287, 39.0463625688862],izmir-kinik
35,İzmir,1477,Kiraz,[28.3052404394357, 38.2228781991084],izmir-kiraz
35,İzmir,1521,Menemen,[27.0625098552957, 38.6177732101035],izmir-menemen
35,İzmir,1563,Ödemiş,[28.0045057240888, 38.2125239324958],izmir-odemis
35,İzmir,1611,Seferihisar,[26.8875048659455, 38.1824800650147],izmir-seferihisar
35,İzmir,1612,Selçuk,[27.3792451087206, 37.9555486169976],izmir-selcuk
35,İzmir,1677,Tire,[27.7252562294389, 38.0708587297148],izmir-tire
35,İzmir,1682,Torbalı,[27.3785101934127, 38.1826935252029],izmir-torbali
35,İzmir,1703,Urla,[26.6334758854313, 38.2991549722601],izmir-urla
35,İzmir,1776,Beydağ,[28.2299428810138, 38.0925890756218],izmir-beydag
35,İzmir,1780,Buca,[27.2478851218919, 38.3394308370757],izmir-buca
35,İzmir,1819,Konak,[27.1468309179514, 38.4191471227423],izmir-konak
35,İzmir,1826,Menderes,[27.1322173159772, 38.1469348706766],izmir-menderes
35,İzmir,2006,Balçova,[27.0561330971201, 38.3860347225174],izmir-balcova
35,İzmir,2007,Çiğli,[27.0022376479372, 38.4983119181881],izmir-cigli
35,İzmir,2009,Gaziemir,[27.1481660459667, 38.3152926463026],izmir-gaziemir
35,İzmir,2013,Narlıdere,[26.9821356746236, 38.3705303036561],izmir-narlidere
35,İzmir,2018,Güzelbahçe,[26.8822005235042, 38.3333589432191],izmir-guzelbahce
35,İzmir,2056,Bayraklı,[27.1556261542732, 38.4766069631087],izmir-bayrakli
35,İzmir,2057,Karabağlar,[27.0492312416087, 38.3427093750828],izmir-karabaglar
35,İzmir,9965,İzmir Il Geneli,,İzmir Il Geneli
36,Kars,1149,Arpaçay,[43.3717682113354, 40.9015405507683],kars-arpacay
36,Kars,1279,Digor,[43.4484108099508, 40.3275906451034],kars-digor
36,Kars,1424,Kağızman,[43.0887844122075, 40.1456642462449],kars-kagizman
36,Kars,1447,Kars Merkez,[43.2041058488875, 40.5734356907797],kars-kars-merkez
36,Kars,1601,Sarıkamış,[42.5446807872287, 40.2162075167054],kars-sarikamis
36,Kars,1614,Selim,[42.7640147830593, 40.4803781481122],kars-selim
36,Kars,1645,Susuz,[43.0967147612148, 40.8141805574307],kars-susuz
36,Kars,1756,Akyaka,[43.6094015714588, 40.7796791234486],kars-akyaka
37,Kastamonu,1101,Abana,[34.0604861779619, 41.9608204284647],kastamonu-abana
37,Kastamonu,1140,Araç,[33.2398650720359, 41.2047789847251],kastamonu-arac
37,Kastamonu,1162,Azdavay,[33.3509020353728, 41.7074060087139],kastamonu-azdavay
37,Kastamonu,1208,Bozkurt,[34.0257944406479, 41.8715555298422],kastamonu-bozkurt
37,Kastamonu,1221,Cide,[33.064083437311, 41.8644421404454],kastamonu-cide
37,Kastamonu,1238,Çatalzeytin,[34.190547442949, 41.8678544386239],kastamonu-catalzeytin
37,Kastamonu,1264,Daday,[33.3692022385332, 41.4715471153204],kastamonu-daday
37,Kastamonu,1277,Devrekani,[33.9271967305265, 41.6825438092653],kastamonu-devrekani
37,Kastamonu,1410,İnebolu,[33.746794552693, 41.9161746816827],kastamonu-inebolu
37,Kastamonu,1450,Kastamonu Merkez,[33.8115216220565, 41.3158696940872],kastamonu-kastamonu-merkez
37,Kastamonu,1499,Küre,[33.6693028432697, 41.8101240059984],kastamonu-kure
37,Kastamonu,1666,Taşköprü,[34.2037969704752, 41.4694599993994],kastamonu-taskopru
37,Kastamonu,1685,Tosya,[34.059145973139, 40.9928009823806],kastamonu-tosya
37,Kastamonu,1805,İhsangazi,[33.5585877302353, 41.1479047453468],kastamonu-ihsangazi
37,Kastamonu,1836,Pınarbaşı,[33.0465036177038, 41.6388049113802],kastamonu-pinarbasi
37,Kastamonu,1845,Şenpazar,[33.2337260330032, 41.8224184883806],kastamonu-senpazar
37,Kastamonu,1867,Ağlı,[33.5582759383171, 41.7043404758391],kastamonu-agli
37,Kastamonu,1915,Doğanyurt,[33.4400203943204, 41.9489136649611],kastamonu-doganyurt
37,Kastamonu,1940,Hanönü,[34.4534187870878, 41.6397727621688],kastamonu-hanonu
37,Kastamonu,1984,Seydiler,[33.6966989572514, 41.632332865526],kastamonu-seydiler
38,Kayseri,1218,Bünyan,[35.9367089667413, 38.8045360266738],kayseri-bunyan
38,Kayseri,1275,Develi,[35.5934181293696, 38.273099013169],kayseri-develi
38,Kayseri,1330,Felahiye,[35.5537133383167, 39.1033262432298],kayseri-felahiye
38,Kayseri,1409,İncesu,[35.2272411111901, 38.6264567530419],kayseri-incesu
38,Kayseri,1576,Pınarbaşı,[36.4737160456542, 38.8155257573068],kayseri-pinarbasi
38,Kayseri,1603,Sarıoğlan,[35.9316748128428, 39.1131679985995],kayseri-sarioglan
38,Kayseri,1605,Sarız,[36.5472964338582, 38.4750665669843],kayseri-sariz
38,Kayseri,1680,Tomarza,[35.914604030725, 38.4198901269069],kayseri-tomarza
38,Kayseri,1715,Yahyalı,[35.4013782387823, 37.9638605309845],kayseri-yahyali
38,Kayseri,1727,Yeşilhisar,[35.1060818739106, 38.3272298778502],kayseri-yesilhisar
38,Kayseri,1846,Talas,[35.6917547805418, 38.6178214739997],kayseri-talas
38,Kayseri,1863,Kocasinan,[35.357755742695, 38.8919875522023],kayseri-kocasinan
38,Kayseri,1864,Melikgazi,[35.596861421262, 38.7189095525288],kayseri-melikgazi
38,Kayseri,1936,Hacılar,[35.4076459191549, 38.6293662830184],kayseri-hacilar
38,Kayseri,1978,Özvatan,[35.7529770256789, 39.1188963360903],kayseri-ozvatan
38,Kayseri,9962,Kayseri Il Geneli,,Kayseri Il Geneli
39,Kırklareli,1163,Babaeski,[27.096929174464, 41.4779079205429],kirklareli-babaeski
39,Kırklareli,1270,Demirköy,[27.8004700620344, 41.8795725707366],kirklareli-demirkoy
39,Kırklareli,1471,Kırklareli Merkez,[27.2451433602339, 41.7867770062446],kirklareli-kirklareli-merkez
39,Kırklareli,1480,Kofçaz,[27.1562609703027, 41.9977454375555],kirklareli-kofcaz
39,Kırklareli,1505,Lüleburgaz,[27.4130028600954, 41.402210463733],kirklareli-luleburgaz
39,Kırklareli,1572,Pehlivanköy,[26.9412129668218, 41.3872786370819],kirklareli-pehlivankoy
39,Kırklareli,1577,Pınarhisar,[27.5450779503218, 41.6634632135111],kirklareli-pinarhisar
39,Kırklareli,1714,Vize,[27.8322168572542, 41.6274562296208],kirklareli-vize
40,Kırşehir,1254,Çiçekdağı,[34.3436896776303, 39.5845352372744],kirsehir-cicekdagi
40,Kırşehir,1429,Kaman,[33.7218520953092, 39.3272406396389],kirsehir-kaman
40,Kırşehir,1472,Kırşehir Merkez,[34.0819323205145, 39.1663358318108],kirsehir-kirsehir-merkez
40,Kırşehir,1529,Mucur,[34.4259119235866, 39.0969314107465],kirsehir-mucur
40,Kırşehir,1754,Akpınar,[33.9578649874606, 39.5065962380211],kirsehir-akpinar
40,Kırşehir,1869,Akçakent,[34.0817703151296, 39.6387614060519],kirsehir-akcakent
40,Kırşehir,1890,Boztepe,[34.3726293197279, 39.328411133712],kirsehir-boztepe
41,Kocaeli,1338,Gebze,[29.5520739184378, 40.9150404666563],kocaeli-gebze
41,Kocaeli,1355,Gölcük,[29.7999342175884, 40.654786206867],kocaeli-golcuk
41,Kocaeli,1430,Kandıra,[30.1028726189954, 41.039728886372],kocaeli-kandira
41,Kocaeli,1440,Karamürsel,[29.5960823665653, 40.6164203701881],kocaeli-karamursel
41,Kocaeli,1821,Körfez,[29.7442613496003, 40.8602613411081],kocaeli-korfez
41,Kocaeli,2030,Derince,[29.8594374046968, 40.8907083941497],kocaeli-derince
41,Kocaeli,2059,Çayırova,[29.394670061725, 40.8458616858991],kocaeli-cayirova
41,Kocaeli,2060,Darıca,[29.3781979611738, 40.7772767141423],kocaeli-darica
41,Kocaeli,2062,İzmit,[30.0516084842163, 40.8422952256638],kocaeli-izmit
41,Kocaeli,2063,Kartepe,[30.1016974610287, 40.7022484788921],kocaeli-kartepe
41,Kocaeli,9959,Kocaeli Il Geneli,,Kocaeli Il Geneli
42,Konya,1188,Beyşehir,[31.6484529004543, 37.6969986634174],konya-beysehir
42,Konya,1207,Bozkır,[32.3194041890508, 37.165146033907],konya-bozkir
42,Konya,1222,Cihanbeyli,[32.8859238724578, 38.6884075957934],konya-cihanbeyli
42,Konya,1262,Çumra,[32.7730452529523, 37.5217701667618],konya-cumra
42,Konya,1285,Doğanhisar,[31.6530957177947, 38.1334602503942],konya-doganhisar
42,Konya,1312,Ereğli,[34.0775460213343, 37.6771663132458],konya-eregli
42,Konya,1375,Hadim,[32.4915287676609, 36.9657161089925],konya-hadim
42,Konya,1400,Ilgın,[31.9135039486397, 38.2686545335767],konya-ilgin
42,Konya,1422,Kadınhanı,[32.1828095186492, 38.5059040697801],konya-kadinhani
42,Konya,1441,Karapınar,[33.5062476116934, 37.7212415945123],konya-karapinar
42,Konya,1491,Kulu,[33.0550591426063, 39.0211988671882],konya-kulu
42,Konya,1598,Sarayönü,[32.4513415960694, 38.4858356201621],konya-sarayonu
42,Konya,1617,Seydişehir,[31.9408699807988, 37.4604375823609],konya-seydisehir
42,Konya,1735,Yunak,[31.9325590984694, 38.7860482863883],konya-yunak
42,Konya,1753,Akören,[32.3637196938098, 37.4123134076232],konya-akoren
42,Konya,1760,Altınekin,[32.911275063367, 38.3012851675315],konya-altinekin
42,Konya,1789,Derebucak,[31.5407236193169, 37.3962132028083],konya-derebucak
42,Konya,1804,Hüyük,[31.5968500554119, 37.9177066611775],konya-huyuk
42,Konya,1814,Karatay,[32.9744288270724, 37.9295741863426],konya-karatay
42,Konya,1827,Meram,[32.2900911968403, 37.7064608923387],konya-meram
42,Konya,1839,Selçuklu,[32.4839342560189, 38.064369857409],konya-selcuklu
42,Konya,1848,Taşkent,[32.593717910323, 36.8866321820328],konya-taskent
42,Konya,1868,Ahırlı,[32.0425023377533, 37.311536],konya-ahirli
42,Konya,1902,Çeltik,[31.8449720595056, 39.0014253802641],konya-celtik
42,Konya,1907,Derbent,[31.9975932217947, 37.9909305989857],konya-derbent
42,Konya,1920,Emirgazi,[33.7879337468936, 37.9907387769622],konya-emirgazi
42,Konya,1933,Güneysınır,[32.7131281323531, 37.2105489439942],konya-guneysinir
42,Konya,1937,Halkapınar,[34.3047864097938, 37.3678411445935],konya-halkapinar
42,Konya,1990,Tuzlukçu,[31.6246504143124, 38.5031439860544],konya-tuzlukcu
42,Konya,1994,Yalıhüyük,[32.0638448534149, 37.295498641013],konya-yalihuyuk
42,Konya,9958,Konya Il Geneli,,Konya Il Geneli
43,Kütahya,1132,Altıntaş,[30.0400714252567, 39.0411312052325],kutahya-altintas
43,Kütahya,1288,Domaniç,[29.5752325966072, 39.7810391679791],kutahya-domanic
43,Kütahya,1304,Emet,[29.3339490248783, 39.3367619664064],kutahya-emet
43,Kütahya,1339,Gediz,[29.4451714165137, 38.9941086485155],kutahya-gediz
43,Kütahya,1500,Kütahya Merkez,[30.0784749040707, 39.4313331656384],kutahya-kutahya-merkez
43,Kütahya,1625,Simav,[28.9363360955024, 39.2004781453005],kutahya-simav
43,Kütahya,1671,Tavşanlı,[29.4301353047435, 39.552530470251],kutahya-tavsanli
43,Kütahya,1764,Aslanapa,[29.8189001519325, 39.2010747060473],kutahya-aslanapa
43,Kütahya,1790,Dumlupınar,[29.9968751989954, 38.8937531131051],kutahya-dumlupinar
43,Kütahya,1802,Hisarcık,[29.2478614025841, 39.2097889239456],kutahya-hisarcik
43,Kütahya,1843,Şaphane,[29.2004763335229, 38.9845106528274],kutahya-saphane
43,Kütahya,1898,Çavdarhisar,[29.6299523898104, 39.20332546549],kutahya-cavdarhisar
43,Kütahya,1979,Pazarlar,[29.1119069821932, 38.9540405544785],kutahya-pazarlar
44,Malatya,1114,Akçadağ,[37.8874039950197, 38.3685478631582],malatya-akcadag
44,Malatya,1143,Arapgir,[38.4657718119782, 38.9682580232849],malatya-arapgir
44,Malatya,1148,Arguvan,[38.2723132776798, 38.8517303744058],malatya-arguvan
44,Malatya,1265,Darende,[37.5783303937702, 38.5552157252622],malatya-darende
44,Malatya,1286,Doğanşehir,[37.8640499298013, 38.0444219481788],malatya-dogansehir
44,Malatya,1390,Hekimhan,[37.9412758502611, 38.8575171021791],malatya-hekimhan
44,Malatya,1582,Pütürge,[38.8292312135852, 38.1777730554243],malatya-puturge
44,Malatya,1729,Yeşilyurt,[38.2048830144517, 38.2825300252052],malatya-yesilyurt
44,Malatya,1772,Battalgazi,[38.4893615166698, 38.3362163311733],malatya-battalgazi
44,Malatya,1914,Doğanyol,[39.0488289940629, 38.2848728814434],malatya-doganyol
44,Malatya,1953,Kale,[38.7907318754961, 38.3745319314504],malatya-kale
44,Malatya,1969,Kuluncak,[37.6605261263477, 38.8741756588212],malatya-kuluncak
44,Malatya,1995,Yazıhan,[38.1363424313065, 38.5946332258122],malatya-yazihan
45,Manisa,1118,Akhisar,[27.8852725300801, 38.9635417698299],manisa-akhisar
45,Manisa,1127,Alaşehir,[28.4925028985816, 38.3407225157753],manisa-alasehir
45,Manisa,1269,Demirci,[28.6694445491196, 38.9685998995523],manisa-demirci
45,Manisa,1362,Gördes,[28.2736096601604, 38.9451492930125],manisa-gordes
45,Manisa,1470,Kırkağaç,[27.7988195708514, 39.1666044706688],manisa-kirkagac
