ENDEKSA_IL,ENDEKSA_IL_AD,ENDEKSA_ILCE,ENDEKSA_ILCE_AD,LATLOT,SLUG
6,Ankara,1473,Kızılcahamam,[32.6436610807991, 40.4821969959336],ankara-kizilcahamam
6,Ankara,1539,Nallıhan,[31.3224053993441, 40.1750538433158],ankara-nallihan
6,Ankara,1578,Polatlı,[32.1154486942216, 39.4556849982086],ankara-polatli
6,Ankara,1658,Şereflikoçhisar,[33.49736416075, 38.9732083445587],ankara-sereflikochisar
6,Ankara,1723,Yenimahalle,[32.7262146911625, 40.0126163877888],ankara-yenimahalle
6,Ankara,1744,Gölbaşı,[32.7865722395387, 39.5767058176591],ankara-golbasi
6,Ankara,1745,Keçiören,[32.8289302950827, 40.0656839899633],ankara-kecioren
6,Ankara,1746,Mamak,[33.0334412875748, 39.9031815035928],ankara-mamak
6,Ankara,1747,Sincan,[32.4507994356329, 39.8489884789535],ankara-sincan
6,Ankara,1815,Kahramankazan,[32.6716043699491, 40.1968784821595],ankara-kahramankazan
6,Ankara,1922,Etimesgut,[32.6117148952133, 39.8594796954415],ankara-etimesgut
6,Ankara,1924,Evren,[33.7355143274156, 39.0406043931702],ankara-evren
6,Ankara,2034,Pursaklar,[32.8888003312664, 40.1073349635682],ankara-pursaklar
6,Ankara,9994,Ankara Il Geneli,,Ankara Il Geneli
7,Antalya,1121,Akseki,[31.8304281753231, 37.0629177849307],antalya-akseki
7,Antalya,1126,Alanya,[32.1215520561216, 36.5977268271746],antalya-alanya
7,Antalya,1303,Elmalı,[29.9314049075178, 36.7145536062059],antalya-elmali
7,Antalya,1333,Finike,[30.0729679308268, 36.4454285896491],antalya-finike
7,Antalya,1337,Gazipaşa,[32.4627316714707, 36.3097830314242],antalya-gazipasa
7,Antalya,1370,Gündoğmuş,[32.122707046957, 36.7949796996823],antalya-gundogmus
7,Antalya,1451,Kaş,[29.6168536030107, 36.3671131054275],antalya-kas
7,Antalya,1483,Korkuteli,[30.1633684242687, 37.0638912932028],antalya-korkuteli
7,Antalya,1492,Kumluca,[30.3143154289163, 36.5189108468659],antalya-kumluca
7,Antalya,1512,Manavgat,[31.3604968057821, 37.0283126611177],antalya-manavgat
7,Antalya,1616,Serik,[31.0190968200957, 37.0855668336294],antalya-serik
7,Antalya,1811,Demre,[29.9401223274661, 36.2897782569674],antalya-demre
7,Antalya,1946,İbradı,[31.5074452095757, 37.1445425388067],antalya-ibradi
7,Antalya,1959,Kemer,[30.4819603062414, 36.5739393322056],antalya-kemer
7,Antalya,2035,Aksu,[30.8451198605935, 37.026280867794],antalya-aksu
7,Antalya,2036,Döşemealtı,[30.5738252881873, 37.1272687112265],antalya-dosemealti
7,Antalya,2037,Kepez,[30.7127760400719, 37.0186040331838],antalya-kepez
7,Antalya,2038,Konyaaltı,[30.4737791137473, 36.8307490330108],antalya-konyaalti
7,Antalya,2039,Muratpaşa,[30.7677922210401, 36.8821878660451],antalya-muratpasa
7,Antalya,9993,Antalya Il Geneli,,Antalya Il Geneli
8,Artvin,1145,Ardanuç,[42.150011396775, 41.0728217841245],artvin-ardanuc
8,Artvin,1147,Arhavi,[41.3838876623748, 41.2564166610489],artvin-arhavi
8,Artvin,1152,Artvin Merkez,[41.8614896461459, 41.1742955766459],artvin-artvin-merkez
8,Artvin,1202,Borçka,[41.8104824112174, 41.3993772396996],artvin-borcka
8,Artvin,1395,Hopa,[41.4590425222279, 41.385912610392],artvin-hopa
8,Artvin,1653,Şavşat,[42.3358144602699, 41.315982118378],artvin-savsat
8,Artvin,1736,Yusufeli,[41.5346941612857, 40.8627625006746],artvin-yusufeli
8,Artvin,9992,Artvin Il Geneli,,Artvin Il Geneli
9,Aydın,1206,Bozdoğan,[28.4017565500647, 37.6359711736194],aydin-bozdogan
9,Aydın,1256,Çine,[28.054338896891, 37.6049825556776],aydin-cine
9,Aydın,1348,Germencik,[27.5685457223457, 37.8998507193137],aydin-germencik
9,Aydın,1435,Karacasu,[28.6516284965078, 37.7173115756909],aydin-karacasu
9,Aydın,1479,Koçarlı,[27.6959569740582, 37.6857618840286],aydin-kocarli
9,Aydın,1497,Kuşadası,[27.2583653194667, 37.7576712464826],aydin-kusadasi
9,Aydın,1498,Kuyucak,[28.5837554350075, 37.9555552400328],aydin-kuyucak
9,Aydın,1542,Nazilli,[28.3770512565825, 37.9432414203884],aydin-nazilli
9,Aydın,1637,Söke,[27.4272203209032, 37.6436728623362],aydin-soke
9,Aydın,1640,Sultanhisar,[28.1755504827129, 37.9311568957032],aydin-sultanhisar
9,Aydın,1724,Yenipazar,[28.192484131845, 37.7877538816935],aydin-yenipazar
9,Aydın,1807,İncirliova,[27.7269731355261, 37.8828983440982],aydin-incirliova
9,Aydın,1957,Karpuzlu,[27.8247407558064, 37.5571726548314],aydin-karpuzlu
9,Aydın,1968,Köşk,[28.062102841867, 37.9311972785248],aydin-kosk
9,Aydın,2000,Didim,[27.3141871719349, 37.4489844807409],aydin-didim
9,Aydın,2076,Efeler,[27.9168939889586, 37.8533323297258],aydin-efeler
9,Aydın,9991,Aydın Il Geneli,,Aydın Il Geneli
10,Balıkesir,1161,Ayvalık,[26.7741439871096, 39.2893125339651],balikesir-ayvalik
10,Balıkesir,1169,Balya,[27.5935643911655, 39.8013001066933],balikesir-balya
10,Balıkesir,1171,Bandırma,[27.9839474243232, 40.2764975031568],balikesir-bandirma
10,Balıkesir,1191,Bigadiç,[28.2683274053334, 39.4231450820888],balikesir-bigadic
10,Balıkesir,1216,Burhaniye,[27.0214847374682, 39.4318518558869],balikesir-burhaniye
10,Balıkesir,1291,Dursunbey,[28.6576177305083, 39.5477518766676],balikesir-dursunbey
10,Balıkesir,1294,Edremit,[26.9000128311625, 39.6548373846932],balikesir-edremit
10,Balıkesir,1310,Erdek,[27.8373427981597, 40.4611390767595],balikesir-erdek
10,Balıkesir,1360,Gönen,[27.6214245651551, 40.1213620257228],balikesir-gonen
10,Balıkesir,1384,Havran,[27.1932778430424, 39.5910207297855],balikesir-havran
